17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,1
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, BBC news, CNN, Facebook, Twitter, Random share/post",There are people who are not validating the information.,1
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, BBC news, Prominent people, Facebook, Twitter, Tiktok",Shared/post by prominent people,3
21 - above,1 - 2 hrs,Often,Neutral,"GMA news, CNN, Prominent people",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Facebook, Tiktok",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Facebook",There are people who are not validating the information.,2
17 - 20 yrs old,3 - 5 hrs,Always,Neutral,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,2
21 - above,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Tiktok, Random share/post",Shared/post by prominent people,3
21 - above,3 - 5 hrs,Often,Agree,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,5
21 - above,1 - 2 hrs,Always,Agree,"GMA news, Facebook",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Tiktok, Random share/post",There are people who are not validating the information.,5
